Song lists of different weeks
List of songs 
Number of Songs Read in: 197 
Total Views: 251020789 

Track Name                                                             Artist Name                    Views                     Appears                   
Nevermind                                                              Dennis Lloyd                   849157                    1                         
New Patek                                                              Lil Uzi Vert                   891599                    1                         
New Rules                                                              Dua Lipa                       974482                    1                         
Nice For What                                                          Drake                          871470                    1                         
No Brainer                                                             DJ Khaled                      1147933                   1                         
No Es Justo                                                            J Balvin                       1328858                   1                         
No Issue                                                               Future                         691132                    1                         
No Me Acuerdo                                                          Thalía                         863951                    1                         
No Stylist                                                             French Montana                 1806680                   1                         
no tears left to cry                                                   Ariana Grande                  1153883                   1                         
Nonstop                                                                Drake                          1552978                   1                         
Noticed                                                                Lil Mosey                      1352736                   1                         
Ocean (feat. Khalid)                                                   Martin Garrix                  843041                    1                         
One Kiss (with Dua Lipa)                                               Calvin Harris                  1392493                   1                         
OTW                                                                    Khalid                         687058                    1                         
Oxy (feat. Lil Wayne)                                                  Future                         974687                    1                         
PASS OUT (feat. 21 Savage)                                             Quavo                          953124                    1                         
Perfect                                                                Ed Sheeran                     1006972                   1                         
PPP                                                                    Kevin Roldan                   834767                    1                         
Praise The Lord (Da Shine) (feat. Skepta)                              A$AP Rocky                     910832                    1                         
Promises (with Sam Smith)                                              Calvin Harris                  2912176                   1                         
Psycho (feat. Ty Dolla $ign)                                           Post Malone                    1178595                   1                         
Quiere Beber                                                           Anuel AA                       1491150                   1                         
Realer N Realer                                                        Future                         868306                    1                         
Red Bentley (feat. Young Thug)                                         Future                         1134021                   1                         
REEL IT IN                                                             Aminé                          816733                    1                         
REMEDY                                                                 Alesso                         934470                    1                         
Rise                                                                   Jonas Blue                     1460037                   1                         
rockstar (feat. 21 Savage)                                             Post Malone                    1526256                   1                         
Roli Glitzer Glitzer (feat. Luciano & Eno)                             Capital Bra                    880784                    1                         
Ruin My Life                                                           Zara Larsson                   1502046                   1                         
SAD!                                                                   XXXTENTACION                   2177006                   1                         
SaintLaurentYSL (feat. Lil Baby)                                       Lil Yachty                     676819                    1                         
